00:04:18:000;2,15480,0;6,15420,0
00:04:19:000;2,15540,0;6,15480,0
00:04:20:000;2,15600,0;6,15540,0
00:04:21:000;2,15660,0;6,15600,0
00:04:22:000;2,15720,0;6,15660,0
00:04:23:000;2,15780,0;6,15720,0
00:04:24:000;2,15840,0;6,15780,0
00:04:25:000;2,15900,0;6,15840,0
00:04:26:000;2,15960,0;6,15900,0
00:04:27:000;2,16020,0;6,15960,0
00:04:28:000;2,16080,0;6,16020,0
00:04:29:000;2,16140,0;6,16080,0
00:04:30:000;2,16200,0;6,16140,0
00:04:31:000;2,16260,0;6,16200,0
00:04:32:000;2,16320,0;6,16260,0
00:04:33:000;2,16380,0;6,16320,0
00:04:34:000;2,16440,0;6,16380,0
00:04:35:000;2,16500,0;6,16440,0
00:04:36:000;2,16560,0;6,16500,0
00:04:37:000;2,16620,0;6,16560,0
00:04:38:000;2,16680,0;6,16620,0
00:04:39:000;2,16740,0;6,16680,0
00:04:40:000;2,16800,0;6,16740,0
00:04:41:000;2,16860,0;6,16800,0
00:04:42:000;2,16920,0;6,16860,0;11,3200
00:04:43:000;2,16980,0;6,16920,0;11,3140
00:04:44:000;2,17040,0;6,16980,0;11,3080
00:04:45:000;2,17100,0;6,17040,0;11,3020
00:04:46:000;2,17160,0;6,17100,0;11,2960
00:04:47:000;2,17220,0;6,17160,0;8,0;11,2900
00:04:48:000;2,17280,0;6,17220,0
00:04:49:000;2,17340,0;6,17280,0
00:04:50:000;2,17400,0;6,17340,0
00:04:51:000;2,17460,0;6,17400,0
00:04:52:000;2,17520,0;6,17460,0;8,1
00:04:53:000;6,17520,0
